id,llovieron_hamburguesas_al_dia_siguiente
7171,si
118571,no
125199,no
873,si
11030,si
96351,
2428,no
91755,no
35271,no
48430,si
89644,no
40389,si
72719,no
121482,no
23494,no
68862,no
116737,no
111767,no
23607,no
100197,si
23123,no
28748,no
79495,si
21414,no
107711,no
43321,no
96806,no
98634,no
130181,si
14453,no
132597,no
4263,no
37931,no
95662,no
132440,no
86102,no
113065,si
80955,no
104862,no
84078,no
44246,no
133047,no
95241,no
121968,no
115680,no
110309,no
98626,no
135062,no
28488,no
129062,no
8033,no
30836,no
93560,no
32917,si
66671,si
119742,no
118391,no
41913,no
82027,si
128452,si
31952,no
85964,no
38338,no
15947,no
18874,no
18128,no
111464,no
39194,no
116329,no
68578,no
78680,no
44766,no
29190,si
23002,no
137505,no
20853,no
82247,no
108967,no
20806,no
25091,no
13825,no
88537,no
36547,no
61394,no
45836,si
39032,no
28037,no
4556,no
66971,no
37376,no
90964,no
38162,no
81902,si
31658,no
123848,si
27695,no
31354,si
95155,no
104095,no
95580,no
77984,no
134008,no
114652,no
70190,no
80159,no
67445,si
65959,no
121802,no
76413,no
83123,si
119560,si
34480,no
24775,no
136196,no
43721,no
29985,no
106698,no
112303,no
93251,no
62978,no
13002,no
40377,
30585,no
145003,no
24962,no
87065,no
16906,no
129158,si
8957,no
17014,si
69074,
56437,no
110965,no
35088,si
127053,si
77047,no
35534,no
78645,no
130726,no
115574,no
130211,no
27258,si
94580,no
44261,no
50215,no
105086,no
37828,no
87922,si
86454,si
141751,si
1152,si
135530,no
70211,si
26331,no
139,no
78130,no
7253,no
111023,no
5619,si
89610,no
69292,no
60907,si
128504,si
118852,si
127304,no
71589,no
111578,si
74550,no
101541,no
89131,si
44467,no
100540,si
70021,si
58095,no
14410,no
3296,no
115665,no
71301,no
87562,no
96821,no
18273,no
60320,si
94109,si
32663,no
82574,no
73704,no
64363,no
80482,no
49718,no
94365,no
101559,si
175,si
8655,no
45237,no
19545,si
114274,si
26872,no
49950,no
70782,no
126746,no
107744,no
11882,no
30795,no
143642,no
64141,no
145102,no
71558,no
136097,no
62477,no
42630,no
121215,no
34726,no
29513,si
73016,no
123187,no
62257,si
32595,no
133589,no
69535,
137836,no
27297,no
133813,no
18529,no
65127,no
128309,si
133761,no
134885,no
108124,no
20986,no
81587,no
58293,si
4546,no
118439,no
32868,no
41946,si
92871,no
89490,si
86080,no
24698,no
86153,no
69424,
79956,no
103641,no
113328,no
68597,no
66891,si
30598,no
13421,no
40543,no
134938,no
94805,no
77302,si
103626,no
28704,no
95351,no
66979,no
136675,no
117726,no
95265,no
76706,si
135689,no
134953,no
10833,no
115337,si
111220,no
108720,no
67600,no
33997,no
139364,si
27577,
36620,no
145430,no
145265,no
118933,si
135120,no
29296,si
101719,no
130629,si
105644,no
4020,si
52401,
91181,no
40193,no
68768,no
38319,no
3275,no
40079,no
61513,si
81513,no
89214,no
142958,no
77978,no
82897,no
42871,no
41083,si
37365,no
132144,no
85045,no
144267,no
137462,no
104597,no
115367,no
131867,no
81153,no
73315,no
35746,no
120486,no
119736,no
71463,no
42763,no
16200,si
104009,no
5076,no
93911,no
112053,no
6325,no
104924,no
84595,si
125784,no
84185,no
50277,no
130614,si
66276,no
3510,no
20163,no
8423,no
120885,no
108723,no
14603,no
78897,no
141682,no
114539,si
97859,no
51595,no
138971,si
33302,no
43742,si
27313,si
25542,si
116594,no
80064,si
136575,no
89593,no
102728,si
37416,no
74383,no
112889,si
92339,si
73207,no
54443,no
105906,no
86250,si
58736,si
94545,no
109153,no
29348,no
123520,si
59289,no
48769,no
15650,no
4792,no
87303,no
14724,no
5781,no
14538,no
119634,si
132706,no
42964,no
69962,
71997,no
32885,no
28265,si
62149,no
47495,no
109813,no
112713,no
41259,no
88312,no
69504,
68628,no
72675,no
87704,si
122112,no
127248,no
105771,no
38474,no
58243,no
60544,no
135336,no
77858,si
107508,no
64780,no
115515,si
98317,no
109530,no
141637,no
62829,si
104410,si
75898,si
41839,si
21696,no
40752,
66825,si
114003,si
131405,no
8530,
118903,no
66733,no
46114,si
53719,no
132036,no
41584,no
50649,no
16531,no
144569,no
2198,no
26837,no
65110,no
101269,si
25101,no
45656,no
48712,si
84405,no
26611,no
8669,si
105749,no
37383,si
115136,no
96261,no
13017,
1931,si
47666,no
94422,no
64836,no
68541,no
83803,si
26889,si
52668,
94313,no
9285,no
119124,no
97272,no
25118,no
110701,no
118646,no
75282,no
38950,no
92618,si
11017,no
41814,no
93629,no
134258,no
47227,no
95184,no
94881,no
29171,si
128125,
1977,no
117293,no
106962,no
70785,no
130264,si
131063,no
81873,no
80793,no
63633,no
107850,no
142502,no
134588,no
85468,no
8988,no
119060,no
87923,si
125830,no
41494,
9964,no
42914,no
63825,no
23921,no
68146,no
27570,no
95425,no
38803,no
52263,si
25702,si
52431,no
109612,si
51411,no
121066,no
105934,no
78512,si
7726,no
5686,no
98875,no
39752,no
99028,no
19647,no
133832,si
120353,no
108341,no
37347,no
24073,no
144656,no
82621,si
25931,no
129013,no
124056,si
24000,
72903,no
107816,no
80054,no
40561,si
48282,si
142150,si
117023,no
56655,si
74979,no
74844,no
142771,no
35454,no
105229,si
117156,no
56571,no
48061,no
75430,si
81979,no
88662,no
5797,si
138642,no
141383,no
79507,no
62042,no
70124,si
100294,no
126141,no
122035,no
136949,no
17577,si
40183,si
40007,no
14204,no
76600,si
116800,no
138108,no
61712,no
39326,no
90300,no
93271,no
114443,no
121034,no
50895,no
7912,no
35763,si
68473,no
45199,si
143221,no
22276,no
56388,si
119541,no
122165,no
14970,si
91048,no
9679,no
28527,no
10346,no
6398,no
67878,si
121780,si
134193,no
90637,no
69035,no
2774,si
70702,no
110457,no
10669,no
119913,si
3437,si
121572,no
127405,si
79145,no
127518,no
20727,no
41169,
7213,no
131486,no
96879,si
38682,no
42602,no
102457,no
103045,no
81390,no
115583,si
109946,no
117573,no
97775,si
39911,no
120535,no
51110,no
30300,si
125711,no
45022,no
87479,no
34987,si
19100,no
48973,no
69952,
96312,no
52336,no
142232,no
54530,no
98006,si
53660,si
45440,no
24656,no
38124,no
593,no
43956,no
49044,si
100475,no
43409,no
51540,si
87801,si
25206,no
36332,no
91599,no
93746,si
133509,no
60614,no
66509,no
9240,no
70184,no
126602,no
88881,no
115232,no
65634,no
4810,no
41240,no
60205,no
10722,no
129942,no
25838,no
17871,no
113350,no
105573,no
62722,si
13730,no
110143,si
88929,si
37813,no
12803,no
137304,no
104883,no
134022,no
135938,no
45869,no
39512,no
126318,no
121003,no
53888,no
117915,no
66913,si
95073,si
89046,si
103631,no
24107,no
96406,no
98376,
27621,
23609,no
33966,no
47099,no
116289,no
81317,no
107757,no
15082,no
108530,si
787,no
84908,si
11745,no
31378,no
117274,no
38222,no
114684,no
4711,no
97304,no
84140,no
6690,no
68878,
103060,si
82981,no
21640,no
103444,no
42091,no
139254,si
34648,si
122949,no
26255,no
109346,no
122436,no
35057,no
